Order ID,Order Date,Customer ID,Product ID,Warehouse ID,Quantity,Shipping Method,Shipping Status,Delivery Date,Delivery Time,Unit Price,Revenue
O-00001,2/4/2025,C086,P015,W2,23,Air,Delivered,2/8/2025,4,14.32,329.36
O-00002,5/2/2025,C043,P006,W2,71,Ground,In Transit,,,77.45,5498.95
O-00003,2/28/2025,C056,P014,W1,1,Air,Pending,,,58.19,58.19
O-00004,4/12/2025,C060,P010,W1,89,Freight,Pending,,,103.29,9192.81
O-00005,4/25/2025,C043,P013,W2,74,Ground,Delivered,4/27/2025,2,14.14,1046.36
O-00006,2/11/2025,C056,P007,W3,100,Ground,Pending,,,129.92,12992
O-00007,3/29/2025,C010,P010,W2,77,Freight,Pending,,,47.34,3645.18
O-00008,6/3/2025,C046,P012,W2,53,Freight,In Transit,,,113.22,6000.66
O-00009,4/15/2025,C046,P015,W3,64,Air,In Transit,,,143.01,9152.64
O-00010,3/7/2025,C023,P010,W2,41,Ground,Delivered,3/11/2025,4,90.25,3700.25
O-00011,6/13/2025,C070,P006,W3,38,Freight,Pending,,,33.45,1271.1
O-00012,6/3/2025,C067,P007,W2,62,Ground,Pending,,,86.6,5369.2
O-00013,3/18/2025,C086,P009,W2,19,Air,Delivered,3/21/2025,3,140.22,2664.18
O-00014,4/17/2025,C057,P001,W2,8,Air,Delivered,4/19/2025,2,96.87,774.96
O-00015,6/19/2025,C081,P011,W2,69,Freight,Pending,,,84.11,5803.59
O-00016,6/22/2025,C003,P008,W3,21,Air,Pending,,,,0
O-00017,6/13/2025,C061,P007,W2,74,Freight,Pending,,,,0
O-00018,6/20/2025,C035,P015,W3,66,Ground,Delivered,6/27/2025,7,,0
O-00019,2/12/2025,C019,P002,W1,31,Air,Pending,,,,0
O-00020,5/28/2025,C074,P008,W3,88,Ground,Pending,,,,0
O-00021,6/17/2025,C049,P007,W2,25,Air,In Transit,,,,0
O-00022,6/24/2025,C006,P001,W3,93,Ground,Delivered,6/30/2025,6,,0
O-00023,3/31/2025,C079,P001,W2,45,Ground,Pending,,,,0
O-00024,4/4/2025,C069,P010,W1,79,Freight,In Transit,,,,0
O-00025,5/13/2025,C100,P015,W1,1,Freight,Delivered,5/16/2025,3,,0
O-00026,3/15/2025,C009,P013,W1,63,Air,Delivered,3/20/2025,5,,0
O-00027,4/3/2025,C049,P015,W1,64,Freight,Delivered,4/6/2025,3,,0
O-00028,3/25/2025,C037,P015,W1,88,Freight,In Transit,,,,0
O-00029,4/2/2025,C046,P012,W3,18,Ground,Delivered,4/7/2025,5,,0
O-00030,2/21/2025,C100,P003,W1,64,Freight,Delivered,2/23/2025,2,,0
O-00031,4/29/2025,C011,P010,W2,76,Ground,Pending,,,,0
